UnitID,Name,Color,Cost,Rarity,Type,Tribe,Min_HP,Min_ATK,Min_REC,Max_HP,Max_ATK,Max_REC,MaxLvl,Skill Name,Skill Description,CSkill Name,CSkill Description,Ability 1 Name,Ability 1 Description,Ability 2 Name,Ability 2 Description,Ability 3 Name,Ability 3 Description,Ability 4 Name,Ability 4 Description,Ability 1 Unlock,Ability 2 Unlock,Ability 3 Unlock,Ability 4 Unlock
11, Magritte , Green ,1,1, Recovery Type , Animal None ,357,221,280,714,441,559,15, Healing Tag , Recover low HP for 3 turns. , Guard Breaker , Slightly lowers DEF of all enemies for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12, Soothing Dauber Magritte , Green ,2,2, Recovery Type , Animal None ,571,353,447,1040,643,815,30, Healing Graffiti , Recover HP for 3 turns. , Guard Breaker X , Lowers DEF of all enemies for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
13, Mimi , Yellow ,1,1, Offense Type , Animal None ,429,388,133,858,776,266,15, Discharge , Low Yellow damage to 1 enemy. , Electric Current , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
14, Purrfect Shot Mimi , Yellow ,2,2, Offense Type , Animal None ,686,621,213,1250,1130,388,30, Super Discharge , Low Yellow damage to 1 enemy. , Light Burst , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
15, Akane , Red ,1,1, Balanced Type , Human None ,412,265,230,823,530,459,15, Good Cheer , Slightly boost party ATK for 3 turns. , Spark Recap , Deal 400 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
16, Fire Flinger Akane , Red ,2,2, Balanced Type , Human None ,658,424,367,1199,772,668,30, Brave Reach , Slightly boost party ATK for 3 turns. , Smoking Recap , Deal 800 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
17, Rim , Blue ,1,1, Balanced Type , Human Mech ,412,255,239,823,509,477,15, Life Navigation , Slightly boost party REC for 3 turns. , Hailstorm , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
18, Battle Instructor Rim , Blue ,2,2, Balanced Type , Human Mech ,658,407,382,1199,742,696,30, Lifestream Navigation , Slightly boost party REC for 3 turns. , Frozen Burst , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
19, Tink , Yellow ,1,1, Balanced Type , Human None ,403,263,237,806,525,473,15, Minimal Guard , Slightly boost party DEF for 3 turns. , Arrest , Low damage to 1 enemy + Low chance to disable enemy skills. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
20, Spark Sprite Tink , Yellow ,2,2, Balanced Type , Human None ,645,420,378,1175,765,689,30, Minimal Guard L , Slightly boost party DEF for 3 turns. , Bondage , Low damage to 1 enemy + Chance to disable enemy skills. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
21, Veloki , Red ,2,1, Stamina Type , Dragon None ,834,286,129,1668,572,257,15, Fire Breath , Deal 425 Red damage to all enemies. , Spark Recap , Deal 400 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
22, Mutant Form Veloki , Red ,4,2, Stamina Type , Dragon None ,1334,458,206,2335,801,360,30, Bomb Breath ,"Deal 1,020 Red damage to all enemies.", Smoking Recap , Deal 800 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
23, Miel , Green ,2,1, Stamina Type , Animal None ,740,275,158,1479,550,315,15, Soaring Wind , Deal 425 Green damage to all enemies. , Ring of Protection (Small) , Low boost to party DEF for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
24, Sky Soarer Miel , Green ,4,2, Stamina Type , Animal None ,1183,440,252,2071,770,441,30, Witham Wind ,"Deal 1,020 Green damage to all enemies.", Ring of Protection , Medium boost to party DEF for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
25, Hachi , Blue ,2,1, Stamina Type , Animal None ,725,275,161,1450,550,321,15, Ice Wail , Deal 425 Blue damage to all enemies. , Cold Revolver , Deal 800 damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
26, Courageous Canine Hachi , Blue ,4,2, Stamina Type , Animal None ,1160,440,257,2030,770,450,30, Freezing Bark ,"Deal 1,020 Blue damage to all enemies.", Cold Pistol , Deal 1600 damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
27, Patrine , Green ,2,1, Recovery Type , Mech None ,408,230,355,816,459,710,15, Light Green Attack , Low Green damage to 1 enemy. , Aero Edge , Deal 800 damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
28, First-On-Scene Patrine , Green ,4,2, Recovery Type , Mech None ,653,367,568,1142,642,994,30, Deep Clean Attack , Low Green damage to 1 enemy. , Aero Knife , Deal 1600 damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
29, Scarecrow , Blue ,2,1, Recovery Type , Mech None ,400,230,362,800,459,724,15, Heal , Recover 560 HP. , Icy Splash , Deal 400 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
30, Guard-Bot Scarecrow , Blue ,4,2, Recovery Type , Mech None ,640,367,579,1120,642,1014,30, Mega Heal ,"Recover 1,800 HP.", Frozen Splash , Deal 800 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
31, Marvey , Yellow ,2,1, Technical Type , Mech None ,441,218,273,882,436,545,15, Paranoia , Skill Binds enemies to disable enemy skills for 1 turn. , Thunder , Deal 800 damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
32, Silent Jamming Marvey , Yellow ,4,2, Technical Type , Mech None ,706,349,436,1235,611,764,30, Paranoia , Skill Binds enemies to disable enemy skills for 1 turn. , Thunder Ball , Deal 1600 damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
33, Goku , Red ,4,2, Offense Type , Animal None ,750,672,222,1500,1343,443,30, Focus , Recover low HP + Boost REC of party for 3 turns. , Force Ring , Medium boost to party ATK for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
34, Hallowed Sage Goku , Red ,6,3, Offense Type , Animal None ,1200,1074,355,2100,1880,620,40, Hyper Focus , Recover medium HP + Boost REC of party for 3 turns. , Force Ring , Medium boost to party ATK for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
35, F2 , Green ,4,2, Technical Type , Mech None ,689,556,203,1377,1111,405,30, Great Eruption , Uses up 80% HP to deal immense Red damage to all enemies. , Thorn Burst , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
36, Office Honing Mine F3 , Green ,6,3, Technical Type , Mech None ,1102,889,324,1928,1556,567,40, Great Eruption , Uses up 80% HP to deal immense Red damage to all enemies. , Judgment Wind , Deal damage all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
37, Gyle , Blue ,4,2, Balanced Type , Animal None ,750,485,345,1500,970,689,30, Counter , Deal damage when hit by enemy for 5 turns. , Ice Cube , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
38, Tech Support Gyle , Blue ,6,3, Balanced Type , Animal None ,1200,776,551,2100,1358,964,40, Mega Counter , Deal high damage when hit by enemy for 5 turns. , Ice Wall , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
39, Marlon , Yellow ,4,2, Balanced Type , Human None ,691,450,406,1382,900,811,30, Digital Magic 2 ,"Deal 2,380 Yellow damage to all enemies.", Sleeping Chime , Low damage to 1 enemy + Low chance to inflict Sleep. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
40, Digital Diviner Marlon , Yellow ,6,3, Balanced Type , Human None ,1105,720,648,1935,1260,1135,40, Digital Magic 2 ,"Deal 2,380 Yellow damage to all enemies.", Sleeping Bell , Low damage to 1 enemy + Chance to inflict Sleep. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
41, Hyuga , Red ,4,2, Offense Type , Dragon None ,805,627,173,1610,1253,345,30, Explosion , Low Red damage to all enemies. , Mini Burn , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
42, Blazing Breath Hyuga , Red ,6,3, Offense Type , Dragon None ,1288,1003,276,2300,1791,492,40, Red Explosion , Deal Red damage to all enemies. , Burning Flame , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
43, Muu , Green ,4,2, Technical Type , Dragon Human ,739,489,189,1478,978,378,30, Star Gazer , Low Green damage to all enemies. , Arrest , Low damage to 1 enemy + Low chance to disable enemy skills. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
44, From Another World Muu , Green ,6,3, Technical Type , Dragon Human ,1182,782,302,2111,1397,540,40, Comet Geyser , Deal Green damage to all enemies. , Bondage , Low damage to 1 enemy + Chance to disable enemy skills. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
45, Shoin , Blue ,4,2, Stamina Type , Animal None ,1015,385,225,2030,770,450,30, Ice Letters , Low Blue damage to all enemies. , Freezing Drone ,"Low damage to all enemies. The lower the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
46, Smiling Calligrapher Shoin , Blue ,6,3, Stamina Type , Animal None ,1624,616,360,2900,1100,643,40, Ice Calligraphy , Deal Blue damage to all enemies. , Zero Vortex ,"Medium damage to all enemies. The lower the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
47, Hiro , Yellow ,4,2, Offense Type , Animal None ,686,621,213,1372,1241,426,30, Flash Break , Low Yellow damage to all enemies. , Flashing Plight ,"Low damage to all enemies. The lower the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
48, Thunderfoot Hiro , Yellow ,6,3, Offense Type , Animal None ,1098,993,341,1960,1773,609,40, Thunder Bounce , Yellow damage to all enemies. , Electric Array ,"Medium damage to all enemies. The lower the HP, the more powerful the attack.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
49, Yoshitaka , Red ,4,2, Stamina Type , Human None ,954,361,257,1908,721,514,30, Mutiny Signal , Slightly boost party ATK for 3 turns. , Green Breaker , Low damage to 1 enemy. Effective against Green units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
50, Flamethrowin' Rebel Yoshitaka , Red ,6,3, Stamina Type , Human None ,1527,577,411,2726,1030,734,40, Mutiny Signal , Slightly boost party ATK for 3 turns. , Green Crusher , Low damage to 1 enemy. Effective against Green units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
51, Mai , Green ,4,2, Offense Type , Human None ,671,542,251,1342,1084,502,30, Breakpoint , Convert random panel to Crash Panel. , Yellow Breaker , Low damage to 1 enemy. Effective against Yellow units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
52, Spear Thrustin' Rebel Mai , Green ,6,3, Offense Type , Human None ,1074,867,401,1918,1548,717,40, Breakpoint , Convert random panel to Crash Panel. , Yellow Crusher , Low damage to 1 enemy. Effective against Yellow units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
53, Kenji , Blue ,4,2, Balanced Type , Human None ,658,408,382,1316,815,764,30, Awareness , Deal damage when hit by enemy for 5 turns. , Red Breaker , Low damage to 1 enemy. Effective against Red units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
54, Blade Swingin' Rebel Kenji , Blue ,6,3, Balanced Type , Human None ,1053,652,611,1880,1164,1091,40, Awareness , Deal damage when hit by enemy for 5 turns. , Red Crusher , Low damage to 1 enemy. Effective against Red units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
55, Mamiko , Yellow ,4,2, Balanced Type , Human None ,645,420,378,1290,840,756,30, Hard Swing , Boost party ATK/DEF for 3 turns. , Blue Breaker , Low damage to 1 enemy. Effective against Blue units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
56, Hammer Poundin' Rebel Mamiko , Yellow ,6,3, Balanced Type , Human None ,1032,672,605,1842,1200,1081,40, Hard Swing , Boost party ATK/DEF for 3 turns. , Blue Crusher , Low damage to 1 enemy. Effective against Blue units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
57, Chen Lee , Red ,4,2, Balanced Type , Animal None ,700,471,309,1400,942,617,30, Dramatic Fire , Slightly boost party ATK for 3 turns + Low Red damage to all enemies. , Mini Burn , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
58, Drunken Master Chen Lee , Red ,6,3, Balanced Type , Animal None ,1120,754,494,2000,1346,882,40, Dramatic Flame , Boost party ATK for 3 turns + Low Red damage to all enemies. , Burning Flame , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
59, March , Green ,4,2, Recovery Type , Animal None ,571,353,448,1142,706,895,30, Let's Go! , Recover medium HP + Remove Skill Bind ailment. , Thorn Burst , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
60, Gussied-Up March , Green ,6,3, Recovery Type , Animal None ,914,565,716,1632,1009,1278,40, Let's Go! , Recover medium HP + Remove Skill Bind ailment. , Judgment Wind , Deal damage all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
61, Crow , Blue ,4,2, Recovery Type , Animal None ,560,353,456,1120,706,912,30, First Sprout , Recover low HP. , Cure , Recover low HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
62, Pulsating Melody Crow , Blue ,6,3, Recovery Type , Animal None ,896,565,730,1600,1009,1304,40, Destructive Rhythm , Recover medium HP. , Cure Mid , Recover medium HP. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
63, Tony , Yellow ,4,2, Technical Type , Animal None ,618,420,287,1235,840,573,30, Spark Sliding , Slightly boost party ATK/DEF for 3 turns + Low Yellow damage to 1 enemy. , Modest Armor , Low boost to party ATK/DEF for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
64, Flaming Edge Tony , Yellow ,6,3, Technical Type , Animal None ,988,672,458,1764,1200,818,40, Extreme Sliding , Boost party ATK/DEF for 3 turns + Low Yellow damage to 1 enemy. , Tough Armor , Boost party ATK/DEF for 1 turn. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
65, Flare Fox , Red ,4,2, Offense Type , Animal None ,750,672,222,1500,1343,443,30, Hi-Speed Renderer , Increase taps per turn for the duration of 3 turns. , Human Breaker , Low damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
66, Flare Fox the Explorer , Red ,6,3, Offense Type , Animal None ,1200,1074,355,2100,1880,620,40, Hi-Speed Renderer , Increase taps per turn for the duration of 3 turns. , Human Crusher , Low damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
67, Twin-Flamed Explorer Flare Fox , Red ,14,4, Offense Type , Animal None ,1680,1504,496,2700,2417,798,60, Hi-Speed Renderer , Increase taps per turn for the duration of 3 turns. , Human Smash , Medium damage to 1 enemy. Effective against Humans. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
68, Stall , Green ,4,2, Stamina Type , Animal None ,1110,413,237,2219,825,473,30, Meditation , Recover low HP + Boost ATK of party for 3 turns. , Dragon Breaker , Low damage to 1 enemy. Effective against Dragons. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
69, Sophist Stall , Green ,6,3, Stamina Type , Animal None ,1775,660,378,3106,1155,662,40, Recursive Meditation , Recover medium HP + Boost ATK of party for 3 turns. , Dragon Slayer , Low damage to 1 enemy. Effective against Dragons. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
70, Free-Thinking Theorist Stall , Green ,14,4, Stamina Type , Animal None ,2485,924,529,3993,1484,851,60, Recursive Meditation , Recover medium HP + Boost ATK of party for 3 turns. , Dragon Smash , Medium damage to 1 enemy. Effective against Dragons. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
71, Dax , Blue ,4,2, Balanced Type , Animal None ,750,485,345,1500,970,689,30, Penguin Smile , Lowers enemy DEF for 3 turns. , Mech Breaker , Low damage to 1 enemy. Effective against Mechs. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
72, Seeker Dax , Blue ,6,3, Balanced Type , Animal None ,1200,776,551,2100,1358,964,40, Penguin Splash , Greatly lowers enemy DEF for 3 turns. , Mech Crusher , Low damage to 1 enemy. Effective against Mechs. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
73, Seeker of Freedom Dax , Blue ,14,4, Balanced Type , Animal None ,1680,1087,771,2700,1746,1239,60, Penguin Splash , Greatly lowers enemy DEF for 3 turns. , Mech Smash , Medium damage to 1 enemy. Effective against Mechs. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
74, Thunderbird , Yellow ,4,2, Offense Type , Animal None ,735,665,229,1470,1330,457,30, Spam Filter , Convert Junk Panels to Yellow Panels. , Animal Breaker , Low damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
75, Messenger Thunderbird , Yellow ,6,3, Offense Type , Animal None ,1176,1064,365,2058,1862,639,40, Spam Filter , Convert Junk Panels to Yellow Panels. , Animal Crusher , Low damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
76, Lightning Messenger Thunderbird , Yellow ,14,4, Offense Type , Animal None ,1646,1489,512,2646,2394,822,60, Spam Filter , Convert Junk Panels to Yellow Panels. , Animal Smash , Medium damage to 1 enemy. Effective against Animals. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
77, Lurker Melissa , Red ,7,3, Technical Type , Unidentified None ,1080,529,635,2160,1058,1270,40, Hyper World , Inflict Virus on enemies and nullifies enemy DEF for 5 turns. , Ignition Recap , Deal 1500 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
78, Camouflaged Lurker Melissa 2.0 , Red ,16,4, Technical Type , Unidentified None ,1728,846,1016,2970,1454,1746,60, Pollution , Inflict Virus on enemies and nullifies enemy DEF for 5 turns for high damage. , Fuse Cap ,"Deal 2,250 damage to all enemies.",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
79, Happy 100 , Green ,7,3, Recovery Type , Unidentified None ,882,496,767,882,496,767,1, Happy 3000! , Recover medium HP. , Seed Surge , Deal 400 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
80, Happy 101 , Green ,16,4, Recovery Type , Unidentified None ,1410,793,1227,2424,1362,2109,60, Happy 3001! , Recover high HP. , Emerald Surge , Deal 1500 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
81, Amped-Up Morris , Blue ,7,3, Balanced Type , Unidentified None ,1080,635,551,2160,1270,1102,40, Multi Operation , Recover medium HP + Remove Virus ailment. , Frozen Splash , Deal 800 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
82, Disguised Amp G. Morris , Blue ,16,4, Balanced Type , Unidentified None ,1728,1016,881,2970,1746,1515,60, Multi Operation , Recover medium HP + Remove Virus ailment. , Erosion Splash , Deal 1500 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
83, Self-Replicating Nimda , Yellow ,7,3, Recovery Type , Unidentified None ,847,511,775,1693,1021,1549,40, Omniguard , Reduce damage taken by 50% for 1 turn. , Power Generation , Deal 800 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
84, Breakneck Cloner Nimda E , Yellow ,16,4, Recovery Type , Unidentified None ,1355,817,1239,2328,1404,2130,60, Omniguard , Reduce damage taken by 50% for 1 turn. , Conductivity , Deal 1500 damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
85, Suzaku , Red ,8,3, Balanced Type , Animal Deity ,690,465,305,1380,929,609,40, Crimson: Flame Disaster , Lowers Green enemy DEF for 3 turns. , Burning Flame , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
86, Guardian Deity Suzaku , Red ,17,4, Balanced Type , Animal Deity ,1104,743,487,1740,1171,767,60, Crimson: Green Burn , Greatly lowers Green enemy DEF for 3 turns. , Burning Flame , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
87, Crimson Watcher of South Suzaku , Red ,26,5, Balanced Type , Animal Deity ,1392,937,614,3800,2558,1676,80, Crimson: Scorched Earth , Nullifies Green enemy DEF for 3 turns. , Great Blast , High damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
88, Genbu , Green ,8,3, Technical Type , Dragon Deity ,874,322,233,1748,643,466,40, Holy Tortoise: Carapace , Reduce damage from Yellow enemies by 75% for 3 turns. , Judgment Wind , Deal damage all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
89, Guardian Deity Genbu , Green ,17,4, Technical Type , Dragon Deity ,1399,514,373,2204,810,587,60, Holy Tortoise: Carapace , Reduce damage from Yellow enemies by 75% for 3 turns. , Judgment Wind , Deal damage all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
90, Emerald Watcher of North Genbu , Green ,26,5, Technical Type , Dragon Deity ,1763,648,470,4814,1770,1283,80, Holy Tortoise: Yellow Block , Reduce damage from Yellow enemies to 1 for 3 turns. , Punishing Hurricane , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
91, Seiryu , Blue ,8,3, Balanced Type , Dragon Deity ,794,447,264,1587,893,528,40, Secret Technique: Red Slumber ,"Inflict Sleep on Red enemies, immobilizing them for 3 turns.", Ice Wall , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
92, Guardian Deity Seiryu , Blue ,17,4, Balanced Type , Dragon Deity ,1270,714,422,2001,1125,666,60, Secret Technique: Red Slumber ,"Inflict Sleep on Red enemies, immobilizing them for 3 turns.", Ice Wall , Deal damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
93, Azure Watcher of East Seiryu , Blue ,26,5, Balanced Type , Dragon Deity ,1601,900,532,4370,2458,1454,80, Secret Technique: Red Slumber ,"Inflict Sleep on Red enemies, immobilizing them for 3 turns.", Water Sickness , High damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
94, Byakko , Yellow ,8,3, Offense Type , Animal Deity ,676,612,210,1352,1223,420,40, White Tiger: Azure Stare , Skill Binds Blue enemies to disable their skills for 4 turns. , Current Overdrive , Deal damage to all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
95, Guardian Deity Byakko , Yellow ,17,4, Offense Type , Animal Deity ,1082,979,336,1705,1543,530,60, White Tiger: Azure Stare , Skill Binds Blue enemies to disable their skills for 4 turns. , Current Overdrive , Deal damage to all units. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
96, Golden Watcher of West Byakko , Yellow ,26,5, Offense Type , Animal Deity ,1364,1234,424,3724,3369,1157,80, White Tiger: Azure Stare , Skill Binds Blue enemies to disable their skills for 4 turns. , Spark Distortion , High damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
97, Fire Million Duck , Red ,99,6, Enhance Mat. , Unidentified None ,100,100,100,100,100,100,1, 1 Million Downloads! , Use this as enhancing material to gain 1 million EXP or sell it for 1 million Bits! , A big thanks! , No effect ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
98, Forest Million Duck , Green ,99,6, Enhance Mat. , Unidentified None ,100,100,100,100,100,100,1, 1 Million Downloads! , Use this as enhancing material to gain 1 million EXP or sell it for 1 million Bits! , A big thanks! , No effect ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
99, Aqua Million Duck , Blue ,99,6, Enhance Mat. , Unidentified None ,100,100,100,100,100,100,1, 1 Million Downloads! , Use this as enhancing material to gain 1 million EXP or sell it for 1 million Bits! , A big thanks! , No effect ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
